make,model,version,ano
BMW,IX2,XDRIVE30 ELÉCTRICO AUTOMÁTICO,2025
BMW,IX2,XDRIVE30 ELÉCTRICO AUTOMÁTICO,2026
BMW,M,M2 COUPÉ,2025
BMW,M,M2 COUPÉ,2026
BMW,M,XM AUTOMÁTICO,2025
BMW,SERIE 3 SEDAN,320I EDICION 30 AÑOS,2025
BMW,SERIE 3 SEDAN,320I EDICION 30 AÑOS,2026
BMW,SERIE 4 GRAN COUPÉ,430I,2025
BMW,SERIE 4 GRAN COUPÉ,430I,2026
BMW,SERIE 4 GRAN COUPÉ,M440I XDRIVE,2025
BMW,SERIE 4 GRAN COUPÉ,M440I XDRIVE,2026
BMW,X2 SAC,XDRIVE20I AUTOMÁTICO,2025
BMW,X2 SAC,XDRIVE20I AUTOMÁTICO,2026
BPS,X7,CHÁSIS,2025
CHEVROLET,GROOVE,LT AUTOMÁTICO E,2025
CUPRA,FORMENTOR,VZ 2.0 TSI 333HP DSG7 EDICIÓN ESPECIAL,2025
CUPRA,LEON,2.0 TSI 300HP DSG7 EDICIÓN ESPECIAL,2025
DONGFENG,RICH 6,4X4 DIÉSEL,2025
GWM,TANK 300,LUXURY HÍBRIDO LAUNCHING EDITION,2025
HYUNDAI,TUCSON,LIMITED HÍBRIDA,2025
MINI,COOPER,JOHN COOPER WORKS ELÉCTRICO,2025
MINI,COOPER,JOHN COOPER WORKS ELÉCTRICO,2026
PORSCHE,911,50 AÑOS TURBO,2025
VOLKSWAGEN,AMAROK,AVENTURA DIÉSEL,2025
VOLKSWAGEN,AMAROK,LIFE DIÉSEL,2025
VOLKSWAGEN,AMAROK,LIFE DIÉSEL SIN TIRÓN DE ARRASTE,2025
VOLKSWAGEN,AMAROK,LIFE GASOLINA SIN TIRÓN DE ARRASTE,2025
VOLKSWAGEN,AMAROK,PANAMERICANA DIÉSEL,2025
VOLKSWAGEN,AMAROK,STYLE DIÉSEL 210 HP SIN TIRÓN DE ARRASTE,2025
VOLKSWAGEN,CRAFTER,CARGO VAN 3.5T LWB / GARANTÍA EXTENDIDA,2025
VOLKSWAGEN,CRAFTER,CARGO VAN 3.5T MWB / GARANTÍA EXTENDIDA,2025
VOLKSWAGEN,CRAFTER,CARGO VAN 4.8T EURO VIE LWB / GARANTÍA E,2025
VOLKSWAGEN,CRAFTER,CHASIS 3.5T / GARANTÍA EXTENDIDA (2+3),2025
VOLKSWAGEN,CRAFTER,CHASIS 5.0T EURO VI LWB AUT. / GARANTÍA,2025
