file,non_null_fields,keys
data/oem_specs/mazda/ficha-tecnica-mazda-bt-50-2025-v01.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-3-2025-v01.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-30-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-5-2025-v01.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-50-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-70-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-cx-90-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-mx-5-2025-v01.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-mx-5-i-sport-2024-v01.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda-mx-5-rf-2025-v01.pdf,20,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda2-hatchback-2026-v01.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda2-sedan-2026-v01.pdf,19,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda3-hatchback-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
data/oem_specs/mazda/ficha-tecnica-mazda3-sedan-2025-v01.pdf,21,adas_acc;adas_aeb;adas_bsm;adas_lka;adas_rcta;amen_techo_panoramico;conf_asientos_calefaccion;conf_asientos_ventilacion;info_android_auto;info_apple_carplay;info_camara_360;info_cargador_inalambrico;info_pantalla_pulg;luces_matriz_led;mot_marchas;mot_potencia_hp;mot_tipo_motor;mot_traccion;mot_transmision;seg_act_abs;seg_act_esp
