make,model,version,ano,msrp,precio_transaccion,combinado_kml,tipo_de_combustible_original,costo_mantenimiento_60k_mxn,fuel_cost_60k_mxn
GWM,HAVAL H6,1.5T HEV LUXURY,2024,689900.0,669900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,1.5T HEV LUXURY,2025,689900.0,689900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,1.5T HEV LUXURY,2026,729900.0,729900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,1.5T HEV PREMIUM,2024,639900.0,599900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,1.5T HEV PREMIUM,2025,639900.0,639900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,1.5T HEV PREMIUM,2026,649900.0,649900.0,19.2,gasolina premium,16950.0,73656.25
GWM,HAVAL H6,2.0T PREMIUM,2026,569900.0,569900.0,13.5,gasolina premium,16950.0,104755.56
GWM,HAVAL JOLION,GASOLINA LUXURY,2024,489200.0,474200.0,13.7,gasolina premium,15420.0,103226.28
GWM,HAVAL JOLION,GASOLINA LUXURY,2025,494100.0,484100.0,13.7,gasolina premium,15420.0,103226.28
GWM,HAVAL JOLION,GASOLINA PREMIUM,2024,429900.0,399900.0,13.7,gasolina premium,15420.0,103226.28
GWM,HAVAL JOLION,GASOLINA PREMIUM,2025,434200.0,414200.0,13.7,gasolina premium,15420.0,103226.28
GWM,HAVAL JOLION,HIBRIDA LUXURY,2024,574900.0,534900.0,20.0,gasolina,15420.0,70710.0
GWM,HAVAL JOLION,HIBRIDA LUXURY,2025,583600.0,583600.0,,no disponible,15420.0,106065.0
GWM,HAVAL JOLION,HIBRIDA PREMIUM,2024,514900.0,474900.0,20.0,gasolina,15420.0,70710.0
GWM,HAVAL JOLION,HIBRIDA PREMIUM,2025,522700.0,522700.0,20.0,gasolina,15420.0,70710.0
GWM,ORA 03,48KWH PREMIUM,2024,536900.0,466900.0,,eléctrico,8130.0,42000.0
GWM,ORA 03,48KWH PREMIUM,2025,536900.0,536900.0,,eléctrico,8130.0,42000.0
GWM,ORA 03,63KWH LUXURY,2024,599900.0,574900.0,,eléctrico,8130.0,42000.0
GWM,ORA 03,63KWH LUXURY,2025,619900.0,619900.0,,eléctrico,8130.0,42000.0
GWM,POER,2.0L TURBO LUXURY AT,2025,604900.0,604900.0,8.1,gasolina premium,17700.0,174592.59
GWM,POER,2.0L TURBO LUXURY AT 4X4,2025,649900.0,649900.0,8.1,gasolina premium,17700.0,174592.59
GWM,POER,2.0L TURBO LUXURY MT,2025,474900.0,474900.0,7.9,gasolina premium,17700.0,179012.66
GWM,POER,2.0L TURBO PREMIUM AT,2025,544900.0,544900.0,8.1,gasolina premium,17700.0,174592.59
GWM,POER,2.0L TURBO PREMIUM MT,2025,448900.0,428900.0,7.9,gasolina premium,17700.0,179012.66
GWM,TANK 300,LUXURY HBRIDO LAUNCHING EDITION,2024,899900.0,899900.0,11.9,gasolina premium,20100.0,118840.34
GWM,TANK 300,LUXURY HBRIDO LAUNCHING EDITION,2025,909900.0,909900.0,11.9,gasolina premium,20100.0,118840.34
GWM,TANK 500,LUXURY,2025,1150000.0,1150000.0,8.7,gasolina premium,20100.0,162551.72
GWM,TANK 500,LUXURY BLACK EDITION,2025,1190000.0,1190000.0,8.7,gasolina premium,20100.0,162551.72
GWM,Tank 300,Luxury Híbrido Launching Edition,2024,899900.0,899900.0,,,20100.0,106065.0
GWM,Tank 300,Luxury Híbrido Launching Edition,2025,909900.0,909900.0,,,20100.0,106065.0
