idx,msrp_old,msrp_new,tx_old,tx_new
13420,578990.0,588990.0,578990.0,588990.0
14503,561700.0,558900.0,531700.0,558900.0
14504,502500.0,499900.0,472500.0,499900.0
14607,350200.0,350900.0,332200.0,332900.0
14610,441900.0,422000.0,423900.0,404000.0
14611,423600.0,396700.0,398600.0,378700.0
14612,405400.0,378500.0,387400.0,360500.0
14616,420000.0,443800.0,400000.0,429800.0
14617,442100.0,462700.0,424100.0,448700.0
14618,368800.0,368000.0,343800.0,343000.0
14657,994600.0,993200.0,949600.0,993200.0
16198,1498900.0,1563900.0,1448900.0,1483900.0
16244,459900.0,479900.0,409900.0,399900.0
16345,343400.0,343900.0,343400.0,343900.0
16349,418400.0,421400.0,418400.0,421400.0
16350,460400.0,463400.0,460400.0,463400.0
16354,347400.0,347400.0,nan,327400.0
16718,2585000.0,2645000.0,2585000.0,2645000.0
16729,2820000.0,2885000.0,2820000.0,2885000.0
16750,2550000.0,2610000.0,2560000.0,2610000.0
16858,1232900.0,1309900.0,1232900.0,1309900.0
22006,469900.0,476900.0,414900.0,401400.0
22007,434900.0,440900.0,379900.0,369500.0
22008,593900.0,593900.0,534900.0,534600.0
22009,604900.0,604900.0,555900.0,543900.0
22010,627900.0,627900.0,578900.0,566900.0
26500,1190000.0,1270000.0,1190000.0,1270000.0
28171,589900.0,589900.0,nan,539900.0
28172,629900.0,629900.0,629900.0,579900.0
32467,1411900.0,1359900.0,1199900.0,1199900.0
32784,1359900.0,1321900.0,1099900.0,1321900.0
32785,909900.0,909900.0,909900.0,849900.0
32786,999900.0,999900.0,999900.0,949900.0
32841,1499900.0,1548900.0,1499900.0,1299900.0
32842,1548900.0,1599900.0,1548900.0,1574900.0
32843,1454900.0,1502900.0,1454900.0,1249900.0
32939,1569900.0,1569900.0,1569900.0,1529900.0
32940,1844900.0,1907900.0,1844900.0,1707900.0
32941,1749900.0,1809900.0,1749900.0,1499900.0
32942,1889900.0,1954900.0,1889900.0,1649900.0
32958,1745000.0,1745000.0,nan,1745000.0
32959,1745000.0,1745000.0,nan,1745000.0
32960,1764900.0,1764900.0,nan,1764900.0
32961,3325000.0,3325000.0,nan,3325000.0
32962,4200000.0,4200000.0,nan,4000000.0
32963,4200000.0,4200000.0,nan,4000000.0
32964,1119900.0,1119900.0,nan,1069900.0
32965,1119900.0,1119900.0,nan,1069900.0
32966,1135000.0,1135000.0,nan,1135000.0
32967,1200000.0,1200000.0,nan,1140000.0
32968,1209900.0,1209900.0,nan,1209900.0
32969,1545000.0,1545000.0,nan,1545000.0
32970,1590000.0,1590000.0,nan,1530000.0
32971,1599900.0,1599900.0,nan,1599900.0
32972,1145000.0,1145000.0,nan,1145000.0
32973,1145000.0,1145000.0,nan,1145000.0
32974,1144900.0,1144900.0,nan,1144900.0
32975,1620000.0,1620000.0,nan,1620000.0
32976,1519000.0,1519000.0,nan,1519000.0
32977,1380000.0,1380000.0,nan,1380000.0
32978,1380000.0,1380000.0,nan,1330000.0
32979,1379900.0,1379900.0,nan,1379900.0
32980,528734.0,528734.0,nan,528734.0
32981,1168900.0,1168900.0,nan,1097900.0
32982,986900.0,986900.0,nan,952900.0
32983,634900.0,634900.0,nan,607900.0
32984,784900.0,784900.0,nan,699900.0
32985,1414900.0,1414900.0,nan,1414900.0
32986,2314900.0,2314900.0,nan,2314900.0
32987,440900.0,440900.0,nan,340900.0
32988,470900.0,470900.0,nan,370900.0
32989,418900.0,418900.0,nan,393900.0
32990,433400.0,433400.0,nan,388400.0
32991,605500.0,605500.0,nan,605500.0
32992,899900.0,899900.0,nan,899900.0
32993,909900.0,909900.0,nan,909900.0
32994,833200.0,833200.0,nan,833200.0
32995,874300.0,874300.0,nan,874300.0
32996,689900.0,689900.0,nan,689900.0
32997,855000.0,855000.0,nan,855000.0
32998,899000.0,899000.0,nan,899000.0
32999,4998000.0,4998000.0,nan,4998000.0
33000,749000.0,749000.0,nan,749000.0
33001,1112577.0,1112577.0,nan,1112577.0
33002,886577.0,886577.0,nan,886577.0
33003,868000.0,868000.0,nan,732220.0
33004,869000.0,869000.0,nan,869000.0
33005,858000.0,858000.0,nan,722220.0
33006,859000.0,859000.0,nan,859000.0
33007,1056577.0,1056577.0,nan,1056577.0
33008,939000.0,939000.0,nan,803220.0
33009,979000.0,979000.0,nan,843220.0
33010,999000.0,999000.0,nan,999000.0
33011,929000.0,929000.0,nan,793220.0
33012,1023500.0,1023500.0,nan,1023500.0
33013,999000.0,999000.0,nan,999000.0
33014,1142416.0,1142416.0,nan,1142416.0
33015,925000.0,925000.0,nan,925000.0
33016,1091631.0,1091631.0,nan,1091631.0
33017,685070.0,685070.0,nan,591870.0
